CI_NAME,EQUIPTYPE
EXVG34,BTS
ZRCT01,BTS
ZSCT02,BTS
ZSZS00,BTS
ZTCT01,BTS
ZUCT01,BTS
ZUZU00,BTS
ZUZU01,BTS
ZVCT01,BTS
ZYCT01,BTS
ZYZY00,BTS
ASAS05,BTS
BGVR52,BTS
BIRD04,BTS
CARD02,BTS
CHNR02,BTS
CNDR01,BTS
CNDR02,BTS
CNMO01,BTS
CNOB01,BTS
COAG01,BTS
COAS01,BTS
COAS02,BTS
COAS03,BTS
COAS05,BTS
COAS06,BTS
COAS10,BTS
SPSPO_MSAN2167,MSAN
SPSPO_MSAN2170,MSAN
SPSPO_MSAN2172,MSAN
SPSPO_MSAN2173,MSAN
SPSPO_MSAN2174,MSAN
SPSPO_MSAN2175,MSAN
SPSPO_MSAN2181,MSAN
SPSPO_MSAN2186,MSAN
SPSPO_MSAN2191,MSAN
SPSPO_MSAN2192,MSAN
SPSPO_MSAN2193,MSAN
SPSPO_MSAN2194,MSAN
SPSPO_MSAN2195,MSAN
SPSPO_MSAN2197,MSAN
COAS11,BTS
COAS12,BTS
COAS13,BTS
COAS14,BTS
COAS15,BTS
COAS16,BTS
COAS17,BTS
COAS18,BTS
COAS19,BTS
COAS99,BTS
INTG-NEXTPF860ME01,SWITCH
INTG-NEXTPF860ME02,SWITCH
INTG-NEXTPF860ME03,SWITCH
INTG-NEXTPF860ME20,SWITCH
INTG-NEXTPV322_1,PDH
INTG-NEXTRLUZ8ME01,SWITCH
INTG-NIELYA2830_1,PDH
INTG-NOHORI4880MD01,SWITCH
INTG-NOKIAHP450ME01,SWITCH
INTG-NOVACAPEIM1154_1,PDH
INTG-NOVACASABAHIA120.1,PDH
INTG-NOVAQUESTOUV50_1,PDH
INTG-NTTRDH275_1,PDH
INTG-NUTRACOMP374_1BP,SDH
INTG-NUTRICASHVP45_1(BY-PASS 7281),PDH
INTG-NXTCM9347ME01,SWITCH
INTG-OBJETIVACV103_1,PDH
INTG-OCTAVIOMOURM098_1,PDH
INTG-ODAPELFSM1590_02,PDH
INTG-ODAPELFSM1590MD01,SWITCH
CGE-BN006-HWP01,PTN
CGE-CGE INT-HWP01,PTN
CGE-CGJA01-HWP01,PTN
CGE-CGMV00-HWP01,PTN
CGE-CGSR00-HWP01,PTN
CIV-SP5118-THWP01,PTN
CTA_CEF_M100401,SDH
CTA_CEF_M100402,SDH
CTA_CEF_OS0501,SDH
CTA-CEF03-HWP01,PTN
CTA-CPE01-HWP01,PTN
CTA-CTFD01-HWP01,PTN
CTA-CTSE01-HWP01,PTN
CTA_INA01_HWW01,WDM
CTA-LFS01-HWS09,SDH
CTA-LFS01-HWS12,SDH
CTA_LMT_WDM02_SUB01,WDM
COBA01,BTS
COBA02,BTS
COBA03,BTS
COBS01,BTS
COJG01,BTS
COJP01,BTS
COLA01,BTS
COLA02,BTS
COLA03,BTS
COLA04,BTS
COLA05,BTS
COLA06,BTS
COLA08,BTS
COMA01,BTS
COMA02,BTS
COMC01,BTS
COMO01,BTS
CORD01,BTS
CORD02,BTS
CORG01,BTS
CORU01,BTS
CORV01,BTS
COSG01,BTS
BOMO01,BTS
BOMS01,BTS
BPCE01,BTS
BPIR01,BTS
BPIR02,BTS
COLA09,BTS
BNMC01,BTS
BNPH01,BTS
BNPH02,BTS
BNPH03,BTS
BNSL01,BTS
BOMJ01,BTS
BOMJ02,BTS
BOMJ03,BTS
BOMJ04,BTS
CARI06,BTS
CARI07,BTS
CARI08,BTS
CARI09,BTS
CARI10,BTS
CARI11,BTS
CARI12,BTS
CARI13,BTS
CARI14,BTS
CARI15,BTS
CARI16,BTS
CARM01,BTS
CASD01,BTS
CAST01,BTS
CAST02,BTS
CATV01,BTS
CBCA01,BTS
CBCE01,BTS
CBCI01,BTS
CBCI02,BTS
CBFR01,BTS
CBFR02,BTS
RP04,REPETIDOR
CTA-LMT01-HWS01,SDH
CTA-LMT01-HWS03,SDH
CTA_LMT01_HWW07,WDM
CTA-PR1311-HWP01,PTN
CTA-PR3200-HWP01,PTN
CTA-PR3212-HWP01,PTN
CTA-PZ3230-HWP01,PTN
CTTI-RJN01-HWP02,PTN
DCA-APR01-HWW01,WDM
FLA-CEN01-HWP05,PTN
FNS-FNCA01-THWP01,PTN
FNS-FNPT01-HWP01,PTN
FNS-FNSQ01-THWP01,PTN
FNS-FNTP01-THWP01,PTN
FOZ-MFO01-HWP02,PTN
GNA_ERS_OADM02,WDM
GRP-SP7074-THWP01,PTN
GRS-BN003-HWP03,PTN
GRS-BN031-HWP01,PTN
RJRJO_MSAN1154,MSAN
RJRJO_MSAN1155,MSAN
SPSPO_MSAN0319,MSAN
SPSPO_MSAN0320,MSAN
SPSPO_MSAN0321,MSAN
SPSPO_MSAN0322,MSAN
SPSPO_MSAN0324,MSAN
CBFR03,BTS
CBFR04,BTS
SPSPO_MSAN0327,MSAN
SPSPO_MSAN0328,MSAN
SPSPO_MSAN0329,MSAN
SPSPO_MSAN0330,MSAN
SPSPO_MSAN0332,MSAN
SPSPO_MSAN0333,MSAN
SPSPO_MSAN0335,MSAN
SPSPO_MSAN0336,MSAN
SPSPO_MSAN0338,MSAN
SPSPO_MSAN0339,MSAN
SPSPO_MSAN0340,MSAN
SPSPO_MSAN0341,MSAN
SPSPO_MSAN0342,MSAN
SPSPO_MSAN0343,MSAN
SPSPO_MSAN0344,MSAN
SPSPO_MSAN0345,MSAN
SPSPO_MSAN0346,MSAN
SPSPO_MSAN0347,MSAN
SPSPO_MSAN0349,MSAN
SPSPO_MSAN0352,MSAN
SPSPO_MSAN0353,MSAN
SPSPO_MSAN0354,MSAN
SPSPO_MSAN0355,MSAN
SPSPO_MSAN0358,MSAN
SPSPO_MSAN0359,MSAN
SPSPO_MSAN0361,MSAN
SPSPO_MSAN0362,MSAN
SPSPO_MSAN0363,MSAN
SPSPO_MSAN0364,MSAN
SPSPO_MSAN0365,MSAN
SPSPO_MSAN0366,MSAN
SPSPO_MSAN1901,MSAN
SPSPO_MSAN1911,MSAN
SPSPO_MSAN1912,MSAN
SPSPO_MSAN1913,MSAN
