,CI_NAME,EQUIPTYPE
0,EXVG34,BTS
1,ZRCT01,BTS
2,ZSCT02,BTS
3,ZSZS00,BTS
4,ZTCT01,BTS
5,ZUCT01,BTS
6,ZUZU00,BTS
7,ZUZU01,BTS
8,ZVCT01,BTS
9,ZYCT01,BTS
10,ZYZY00,BTS
11,ASAS05,BTS
12,BGVR52,BTS
13,BIRD04,BTS
14,CARD02,BTS
15,CHNR02,BTS
16,CNDR01,BTS
17,CNDR02,BTS
18,CNMO01,BTS
19,CNOB01,BTS
20,COAG01,BTS
21,COAS01,BTS
22,COAS02,BTS
23,COAS03,BTS
24,COAS05,BTS
25,COAS06,BTS
26,COAS10,BTS
41,COAS11,BTS
42,COAS12,BTS
43,COAS13,BTS
44,COAS14,BTS
45,COAS15,BTS
46,COAS16,BTS
47,COAS17,BTS
48,COAS18,BTS
49,COAS19,BTS
50,COAS99,BTS
88,COBA01,BTS
89,COBA02,BTS
90,COBA03,BTS
91,COBS01,BTS
92,COJG01,BTS
93,COJP01,BTS
94,COLA01,BTS
95,COLA02,BTS
96,COLA03,BTS
97,COLA04,BTS
98,COLA05,BTS
99,COLA06,BTS
100,COLA08,BTS
101,COMA01,BTS
102,COMA02,BTS
103,COMC01,BTS
104,COMO01,BTS
105,CORD01,BTS
106,CORD02,BTS
107,CORG01,BTS
108,CORU01,BTS
109,CORV01,BTS
110,COSG01,BTS
111,BOMO01,BTS
112,BOMS01,BTS
113,BPCE01,BTS
114,BPIR01,BTS
115,BPIR02,BTS
116,COLA09,BTS
117,BNMC01,BTS
118,BNPH01,BTS
119,BNPH02,BTS
120,BNPH03,BTS
121,BNSL01,BTS
122,BOMJ01,BTS
123,BOMJ02,BTS
124,BOMJ03,BTS
125,BOMJ04,BTS
126,CARI06,BTS
127,CARI07,BTS
128,CARI08,BTS
129,CARI09,BTS
130,CARI10,BTS
131,CARI11,BTS
132,CARI12,BTS
133,CARI13,BTS
134,CARI14,BTS
135,CARI15,BTS
136,CARI16,BTS
137,CARM01,BTS
138,CASD01,BTS
139,CAST01,BTS
140,CAST02,BTS
141,CATV01,BTS
142,CBCA01,BTS
143,CBCE01,BTS
144,CBCI01,BTS
145,CBCI02,BTS
146,CBFR01,BTS
147,CBFR02,BTS
175,CBFR03,BTS
176,CBFR04,BTS
262,CBFR05,BTS
263,CBFR07,BTS
264,CBFR08,BTS
265,CBFR09,BTS
266,CBFR10,BTS
267,CBFR11,BTS
268,CBJA51,BTS
269,CBMO01,BTS
270,CBMR02,BTS
271,CBMR03,BTS
272,CBMR04,BTS
273,CBUS01,BTS
274,CCAC01,BTS
275,CCAS01,BTS
276,CCBR01,BTS
277,CCBV02,BTS
278,CCCO01,BTS
279,CCEF01,BTS
280,CCHU01,BTS
